C:\Users\Ismael\Desktop\leo-code\_find_no_docstring.py:8: DeprecationWarning: ast.Str is deprecated and will be removed in Python 3.14; use ast.Constant instead
  isinstance(node.body[0].value, (ast.Constant, ast.Str))):
Total: 438 funciones/clases sin docstring

Top 10:
LOC    Tipo       Nombre                                             Archivo                                                      Linea 
----------------------------------------------------------------------------------------------------------------------------------
112    Class      AnthropicProvider                                  leo_code\rag\llm\anthropic.py                                10    
98     Class      OpenAIProvider                                     leo_code\rag\llm\openai_adapter.py                           9     
93     Function   _handle_command                                    leo_code\rag\cli\app.py                                      459   
87     Function   get_definitions                                    leo_code\rag\agent\tools.py                                  28    
81     Class      BedrockProvider                                    leo_code\rag\llm\bedrock.py                                  10    
77     Function   _handle_goal                                       leo_code\rag\cli\app.py                                      654   
77     Class      SessionManager                                     leo_code\session\__init__.py                                 58    
76     Class      MetricsTracker                                     leo_code\core\metrics.py                                     36    
70     Class      WebPlugin                                          leo_code\plugins\web.py                                      6     
70     Class      OllamaProvider                                     leo_code\rag\llm\ollama.py                                   9     

--- Todas con >= 10 LOC ---
112    Class      AnthropicProvider                                  leo_code\rag\llm\anthropic.py                                10    
98     Class      OpenAIProvider                                     leo_code\rag\llm\openai_adapter.py                           9     
93     Function   _handle_command                                    leo_code\rag\cli\app.py                                      459   
87     Function   get_definitions                                    leo_code\rag\agent\tools.py                                  28    
81     Class      BedrockProvider                                    leo_code\rag\llm\bedrock.py                                  10    
77     Function   _handle_goal                                       leo_code\rag\cli\app.py                                      654   
77     Class      SessionManager                                     leo_code\session\__init__.py                                 58    
76     Class      MetricsTracker                                     leo_code\core\metrics.py                                     36    
70     Class      WebPlugin                                          leo_code\plugins\web.py                                      6     
70     Class      OllamaProvider                                     leo_code\rag\llm\ollama.py                                   9     
67     Function   generate_report                                    benchmark\report.py                                          7     
66     Function   _find_block_end                                    leo_code\core\parser_generic.py                              254   
65     Class      GoogleProvider                                     leo_code\rag\llm\google.py                                   9     
63     Class      PackagePlugin                                      leo_code\plugins\package.py                                  7     
62     Function   generate                                           leo_code\rag\llm\bedrock.py                                  29    
61     Class      AzureProvider                                      leo_code\rag\llm\azure.py                                    9     
61     Class      OpenRouterProvider                                 leo_code\rag\llm\openrouter.py                               9     
60     Class      GitHubPlugin                                       leo_code\plugins\gh.py                                       7     
59     Class      LSPPlugin                                          leo_code\plugins\lsp.py                                      22    
57     Class      CohereProvider                                     leo_code\rag\llm\cohere.py                                   9     
57     Class      GroqProvider                                       leo_code\rag\llm\groq.py                                     9     
57     Class      MistralProvider                                    leo_code\rag\llm\mistral.py                                  9     
57     Class      TogetherProvider                                   leo_code\rag\llm\together.py                                 9     
56     Class      LinterPlugin                                       leo_code\plugins\linter.py                                   15    
55     Class      SkillManager                                       leo_code\skills\__init__.py                                  40    
54     Class      PermissionManager                                  leo_code\rag\agent\permissions.py                            20    
46     Function   init                                               leo_code\plugins\__init__.py                                 199   
46     Function   run_goal                                           leo_code\rag\cli\app.py                                      686   
45     Function   _convert_messages                                  leo_code\rag\llm\anthropic.py                                82    
44     Function   generate                                           leo_code\rag\llm\anthropic.py                                20    
43     Function   generate                                           leo_code\rag\llm\openai_adapter.py                           29    
41     Function   _parse_html                                        leo_code\core\parser_generic.py                              416   
39     Function   main                                               benchmark\run_config.py                                      284   
39     Function   generate                                           leo_code\rag\llm\google.py                                   30    
38     Function   stream                                             leo_code\rag\llm\openai_adapter.py                           78    
37     Function   main                                               benchmark\run.py                                             180   
36     Function   _build_capsule                                     leo_code\core\parser_generic.py                              180   
36     Function   _find_calls_in_block                               leo_code\core\parser_generic.py                              327   
35     Class      SecretsPlugin                                      leo_code\plugins\secrets.py                                  14    
35     Class      BM25Index                                          leo_code\rag\bm25.py                                         20    
35     Function   generate                                           leo_code\rag\llm\openrouter.py                               30    
32     Function   generate                                           leo_code\rag\llm\ollama.py                                   28    
31     Function   _ensure_indexed                                    leo_code\rag\agent\loop.py                                   506   
31     Function   _translate_windows                                 leo_code\rag\agent\tools.py                                  214   
31     Function   generate                                           leo_code\rag\llm\azure.py                                    34    
31     Function   generate                                           leo_code\rag\llm\cohere.py                                   30    
31     Function   generate                                           leo_code\rag\llm\groq.py                                     30    
31     Function   generate                                           leo_code\rag\llm\mistral.py                                  30    
31     Function   generate                                           leo_code\rag\llm\together.py                                 30    
31     Function   _parse_skill_file                                  leo_code\skills\__init__.py                                  104   
30     Function   print_report                                       benchmark\run_justo.py                                       125   
30     Function   main                                               benchmark\run_justo.py                                       160   
29     Function   main                                               benchmark\run_real.py                                        153   
29     Function   main                                               leo_code\server\server.py                                    640   
28     Function   print_summary                                      benchmark\run_real.py                                        123   
27     Function   run_leo                                            benchmark\run_justo.py                                       26    
27     Function   _html_to_text                                      leo_code\plugins\web.py                                      54    
26     Function   on_pre_tool                                        leo_code\plugins\secrets.py                                  25    
25     Function   snapshot                                           leo_code\core\metrics.py                                     84    
25     Function   match                                              leo_code\skills\__init__.py                                  66    
23     Function   run_oc                                             benchmark\run_justo.py                                       56    
23     Function   _parse_css                                         leo_code\core\parser_generic.py                              464   
23     Function   diagnostics                                        leo_code\plugins\lsp.py                                      39    
22     Function   run_batch                                          benchmark\run_justo.py                                       82    
22     Function   stream                                             leo_code\rag\llm\ollama.py                                   63    
21     Function   run_oc_subprocess                                  benchmark\run_real.py                                        47    
21     Function   extract_generic                                    leo_code\core\parser_generic.py                              151   
21     Function   start                                              leo_code\plugins\__init__.py                                 90    
20     Function   on_tool_register                                   leo_code\plugins\gh.py                                       16    
20     Function   _system_prompt                                     leo_code\rag\agent\loop.py                                   573   
20     Function   load_skills                                        leo_code\skills\__init__.py                                  45    
19     Function   install_deps                                       leo_code\plugins\package.py                                  28    
19     Function   run_tests                                          leo_code\rag\agent\tools.py                                  193   
19     Function   search_code                                        leo_code\rag\agent\tools.py                                  254   
19     Function   __init__                                           leo_code\tui\status.py                                       29    
18     Function   run_leo_subprocess                                 benchmark\run_real.py                                        25    
18     Function   _build_signature                                   leo_code\core\parser_generic.py                              232   
18     Function   replace_in_file                                    leo_code\rag\agent\tools.py                                  146   
18     Function   get_history                                        leo_code\session\__init__.py                                 101   
17     Function   main                                               benchmark\leo_ask.py                                         14    
17     Class      MetricsSnapshot                                    leo_code\core\metrics.py                                     17    
17     Function   __init__                                           leo_code\core\metrics.py                                     37    
17     Function   lint_on_file                                       leo_code\plugins\linter.py                                   45    
17     Function   pre_context                                        leo_code\plugins\__init__.py                                 251   
17     Function   stream_chat                                        leo_code\rag\cli\app.py                                      359   
17     Class      LeoCompleter                                       leo_code\rag\cli\app.py                                      399   
16     Function   run_one                                            benchmark\run_config.py                                      132   
16     Function   run_one                                            benchmark\run_real.py                                        85    
16     Function   detect_frameworks                                  leo_code\core\parser.py                                      555   
16     Function   web_fetch                                          leo_code\plugins\web.py                                      22    
16     Class      TextExtractor                                      leo_code\plugins\web.py                                      57    
16     Function   _read_multiline_basic                              leo_code\rag\cli\app.py                                      441   
16     Function   get_completions                                    leo_code\rag\cli\app.py                                      400   
16     Function   add_message                                        leo_code\session\__init__.py                                 84    
16     Function   test_extract_function                              tests\test_parser.py                                         8     
15     Function   judge_results                                      benchmark\run_justo.py                                       108   
15     Function   record_query                                       leo_code\core\metrics.py                                     55    
15     Class      Capsule                                            leo_code\core\parser.py                                      14    
15     Function   _find_imports                                      leo_code\core\parser.py                                      769   
15     Function   list_tools                                         leo_code\plugins\__init__.py                                 348   
15     Function   search                                             leo_code\rag\bm25.py                                         42    
15     Function   __init__                                           leo_code\rag\agent\loop.py                                   25    
15     Function   _line_header                                       leo_code\tui\status.py                                       133   
15     Function   _capsules                                          tests\test_bm25.py                                           7     
14     Function   _do_judge                                          benchmark\judge.py                                           72    
14     Function   main                                               benchmark\leo_runner.py                                      19    
14     Function   run_one                                            benchmark\run_justo.py                                       85    
14     Function   start                                              leo_code\plugins\__init__.py                                 333   
14     Function   add                                                leo_code\rag\bm25.py                                         27    
14     Function   get_scores                                         leo_code\rag\bm25.py                                         80    
14     Function   _build_edges                                       leo_code\rag\expander.py                                     11    
14     Function   execute_command                                    leo_code\rag\agent\tools.py                                  178   
14     Function   run                                                leo_code\rag\cli\app.py                                      263   
14     Function   _process_one                                       leo_code\rag\indexer\watcher.py                              35    
14     Class      ModelInfo                                          leo_code\rag\llm\catalog.py                                  12    
14     Function   test_extract_class                                 tests\test_parser.py                                         26    
13     Function   _detect_lang                                       leo_code\plugins\linter.py                                   65    
13     Function   web_search                                         leo_code\plugins\web.py                                      39    
13     Function   _recv                                              leo_code\plugins\__init__.py                                 146   
13     Function   shutdown                                           leo_code\plugins\__init__.py                                 295   
13     Function   _recv                                              leo_code\plugins\__init__.py                                 392   
13     Function   __init__                                           leo_code\rag\vector_store.py                                 10    
13     Function   _init_llm                                          leo_code\rag\agent\loop.py                                   423   
13     Class      Skill                                              leo_code\skills\__init__.py                                  25    
13     Function   test_extract_async_function                        tests\test_parser.py                                         42    
13     Function   test_extract_dataclass                             tests\test_parser.py                                         68    
13     Function   test_extract_call_graph                            tests\test_parser.py                                         96    
12     Function   init                                               leo_code\core\cache.py                                       62    
12     Function   on_tool_register                                   leo_code\plugins\package.py                                  15    
12     Function   check_deps                                         leo_code\plugins\package.py                                  50    
12     Function   classify_task                                      leo_code\rag\classifier.py                                   128   
12     Function   collection                                         leo_code\rag\vector_store.py                                 33    
12     Function   __init__                                           leo_code\rag\agent\tools.py                                  11    
12     Function   list_files                                         leo_code\rag\agent\tools.py                                  165   
